id	author_id	created_at	retweet_count	like_count	location	author_follower_count	text	Topic	positive/negative/neutral	sum
1.46E+18	1.06E+18	Tue Nov 16 23:51:25 +0000 2021	0	0	"Edmonton, Alberta"	47	@WithASharingan @wayxfrancis04 @MattBrooksNBA Wait that live was “clear” to you 💀??? “I dont take the vaccine bevause people loose there jobs”. Clear would be = im not playing this season trade me. Rn novody knows if he will take it or some	A	positive	1
1.46E+18	1099774544	Tue Nov 16 23:50:43 +0000 2021	0	0	"Edmonton, Alberta"	4115	"Alberta reports 321 new COVID-19 cases, 13 additional deaths "	C	neutral	1
1.46E+18	24782816	Tue Nov 16 23:50:28 +0000 2021	0	6	"Calgary, Alberta"	5304	"@LarryHenzel @lamphieryeg Please. The vaccine does not prevent transmission. It is a therapeutic. It is a very good therapetutic, but it is not a sterilizing vaccine."	A	positive	1
1.46E+18	1.21E+18	Tue Nov 16 23:50:23 +0000 2021	0	1	"Saskatoon SK, Canada"	110	@PremierScottMoe @MerrimanPaul and their idol @jkenney do not want to impose stricter measures to control the spread of #COVID19 They claim it would disproportionately impact vaccinated people Here is what we think of their inaction   #covid19sk #covid19ab	A	negative	1
1.46E+18	2547328153	Tue Nov 16 23:50:02 +0000 2021	1	0	"Edmonton, Alberta"	1924	Now that's a #Covid_19 pandemic OR #ClimateCrisis prescription that makes sense. #CommonSense #Logic 	A	negative	1
1.46E+18	42836999	Tue Nov 16 23:48:50 +0000 2021	21	72	Edmonton	171791	"There are thousands of stories like that of Sharon Durham, who lost her nose after Alberta moved to cancel at least 15,000 surgeries due to the UCP Government’s failure to stop the fourth wave of COVID-19.  Read more about her story here:  1/2 #ableg"	P	negative	1
1.46E+18	596157744	Tue Nov 16 23:47:58 +0000 2021	0	1	"Edmonton, Alberta"	117	"@NavDosanjh1983 Nah man, I'll be there Friday. I've waited 3 years to see a game in Vancouver. Covid has kept me from coming to a game, im so excited to just be in that big rink again. Win or loss, it's going to be such a magical night"	U	positive	1
1.46E+18	634743512	Tue Nov 16 23:47:48 +0000 2021	0	0	Devon	14698	@MetroUK What a joke remain vigilant. That'll scare this Covid away! 	A	negative	1
1.46E+18	1.22E+18	Tue Nov 16 23:45:41 +0000 2021	0	1	beyond the wall	307	@TheMattBoyle @TheLaurenChen Yeah you should be able to talk about vaccination status and people can make up their minds. I don't like talking politics with family sometimes but your still family at the end of the day 🤷‍♂️	A	neutral	1
1.46E+18	1.22E+18	Tue Nov 16 23:44:44 +0000 2021	0	0	beyond the wall	307	@TheLaurenChen You should listen to health experts actually. So you don't get covid and die	S	neutral	1
1.46E+18	532387160	Tue Nov 16 23:44:23 +0000 2021	0	14	All of Canada	35	"@lucifer_vult @donfromyaad Uh, is the President of Brazil even recognizing Covid let alone trying to get vaccines out to the citizens?"	P	negative	1
1.46E+18	1371358387	Tue Nov 16 23:43:43 +0000 2021	1	1	"Edmonton, Alberta"	1325	COVID-19 mRNA vaccines update 16 – circulating spike  via @YouTube	V	neutral	1
1.46E+18	613802332	Tue Nov 16 23:41:17 +0000 2021	3	9	"Calgary, Alberta"	2678	"I have birthed a human being out of my body so I’m pretty sure I’m not afraid of a needle😂😂. Why can’t you accept vaccine hesitancy has more to do with lack of long term safety data, lack of efficacy &amp; too many side effects but you are going with needles?? "	A	negative	1
1.46E+18	171603438	Tue Nov 16 23:40:54 +0000 2021	0	5	"Lethbridge, AB"	2433	Still waiting for the COVID-19 dashboard to update so I can take a look at both provincial and local numbers. Will send out stats once I get them.	C	neutral	1
1.46E+18	2409724183	Tue Nov 16 23:40:21 +0000 2021	1	6	"Strathcona County, Alberta"	971	@savyrecords Heard that many need the little blue pill after the 💉. Guess who makes that?  Pfizer 😬	A	negative	1
1.46E+18	8.95E+17	Tue Nov 16 23:37:18 +0000 2021	0	1	"🥀Regina, Saskatchewan🥀😷💉💉"	1795	"@PoagueAmy I have it, but my vaccination needs to be on official record with the health authority too. Hopefully, they’ll sort it out soon. I’m sure they will somehow."	A	neutral	1
1.46E+18	42811690	Tue Nov 16 23:36:43 +0000 2021	0	1	"Calgary, Canada"	2279	"US passes 760,000 coronavirus deaths; cases rise in many states; holidays could bring new surge: COVID-19 updates  via @usatoday"	C	neutral	1
1.46E+18	24782816	Tue Nov 16 23:36:41 +0000 2021	0	0	"Calgary, Alberta"	5304	@DuncanGregoryB @punditclass Covid is a devilish virus. You are vulnerable to reinfection. Studies I've read suggest the vaccine is an excellent therapeutic. For us it was about weighing the odds.	V	positive	1
1.46E+18	3326758537	Tue Nov 16 23:36:21 +0000 2021	0	1	"Edmonton, Alberta"	342	"@USMortality @megtirrell Meanwhile, Moderna's over here like "	V	neutral	1
1.46E+18	12653722	Tue Nov 16 23:35:42 +0000 2021	3	5	"Regina, Saskatchewan"	68277	Current COVID-19 measures will likely stay in place for Christmas: Premier Moe 	P	neutral	1
1.46E+18	42811690	Tue Nov 16 23:35:27 +0000 2021	0	0	"Calgary, Canada"	2279	And this is just USA - over 5 million people worldwide have died of COVID-19 💔    	C	neutral	1
1.46E+18	7664572	Tue Nov 16 23:34:27 +0000 2021	0	0	"Regina, SK"	115	"@PremierScottMoe First COVID, now this, great job Moe!"	P	negative	1
1.46E+18	24782816	Tue Nov 16 23:34:05 +0000 2021	0	6	"Calgary, Alberta"	5304	@SChad71593015 @lamphieryeg We didn't realize it was Covid until antigen tests showed we had been previously infected. Medical conditions prompted an abundance of caution. That and I'm not getting any younger.	A	negative	1
1.46E+18	8.95E+17	Tue Nov 16 23:33:59 +0000 2021	0	2	"🥀Regina, Saskatchewan🥀😷💉💉"	1795	@PoagueAmy They seem to have lost my vaccination record so I’m even more restricted atm. Crazy times.	A	negative	1
1.46E+18	42836999	Tue Nov 16 23:32:29 +0000 2021	17	89	Edmonton	171791	Other jurisdictions are preparing actively for the approval of COVID-19 vaccine for kids.   Why isn’t Alberta? We’ve been asking for a rollout plan for weeks and have gotten nothing for the UCP.    #ableg #abhealth	V	negative	1
1.46E+18	8.23E+17	Tue Nov 16 23:31:38 +0000 2021	1	1	"Medicine Hat, Alberta"	3243	Hinshaw urges Albertans to stay vigilant against COVID-19 heading into winter  (The province has not yet updated its online reporting site. Those numbers will be added to this story when they are available)  #medhat #COVID19AB 	S	positive	1
1.46E+18	19000019	Tue Nov 16 23:30:56 +0000 2021	4	2	Saskatchewan	88606	"COVID-19 in Sask.: 85 new cases, 1 new death "	C	neutral	1
1.46E+18	8.95E+17	Tue Nov 16 23:29:46 +0000 2021	0	1	"🥀Regina, Saskatchewan🥀😷💉💉"	1795	"@PoagueAmy Yeah, I don’t know how they work inside other buildings and stores. I don’t really spend a lot of time in them. Mostly with covid raging I’ve ordered stuff in anyway. But it does seem a challenge. I never had this issue growing up in Ottawa!! The prairies are tough."	A	neutral	1
1.46E+18	9.52E+17	Tue Nov 16 23:27:35 +0000 2021	0	1	"Carstairs, Alberta"	67	@mini_bubbly Got my flu shot yesterday.  Bit sore and feeling a little off but that’s a sign of an immune system revving up.  My COVID booster is in Jan.  Have you considered a shingles vax?	V	neutral	1
1.46E+18	21258217	Tue Nov 16 23:25:53 +0000 2021	0	1	"Edmonton, AB"	226212	Hinshaw urges caution as Alberta comes ‘down the other side of the 4th wave’  #COVID19ab #COVIDab #COVID19canada	M	neutral	1
1.46E+18	8.80E+17	Tue Nov 16 23:22:18 +0000 2021	0	0	"Calgary, AB"	10	@Bob31685906 Hopefully these clowns aren’t listening to the same COVID scientists.  Can someone just make some fries out of little potato already?!	A	negative	1
1.46E+18	129758267	Tue Nov 16 23:21:26 +0000 2021	0	0	YYC	312	"@JCraig_Miles @gccarra @InglewoodYYC You’re just sitting here ignoring the fundamental properties of an mRNA vaccine and claiming it’s not preventative because it doesn’t 100% prevent COVID. No vaccine is 100% effective, so are all vaccines therapeutic? The whole premise is based on assumptions. "	V	neutral	1
1.46E+18	20812193	Tue Nov 16 23:20:24 +0000 2021	1	3	"Edmonton, Alberta, Canada"	205056	"COVID-19 in Alberta: 321 new cases, 13 deaths Tuesday "	C	neutral	
1.46E+18	16856411	Tue Nov 16 23:20:03 +0000 2021	1	0	Edmonton	14162	"“While over the past few weeks we have begun to come down the other side of the fourth wave, we have seen before how fast things can change.”  "			
1.46E+18	1292215142	Tue Nov 16 23:19:35 +0000 2021	0	1	"Edmonton, Alberta"	9005	"@HemiHimalayan I had my second Pfizer on Friday, it’s like the AstraZeneca I got in April was the pretend vaccine shot.  Hoping I’m good for a while."			
1.46E+18	1.35E+18	Tue Nov 16 23:18:25 +0000 2021	0	0	"Lethbridge, Alberta"	35	"The General Manager of People and Culture for the city, Jason Elliott, says over 95 per cent of city employees have reported their vaccination status. Of that group, 96 per cent have been vaccinated or are in the process of being vaccinated. #lethbridge "			
1.46E+18	1.41E+18	Tue Nov 16 23:17:13 +0000 2021	0	0	"Moose Jaw, SK"	76	"@AdotSad @letsmakeathing You are being intentionally obtuse, so I believe that you are more deserving of that title, amigo. "			
1.46E+18	8.89E+17	Tue Nov 16 23:16:16 +0000 2021	0	0	"Edmonton, Alberta"	103	&amp; our option is a party that aft 4 yrs w a maj gov left elders in cont/home care incl their caregivers in a desperate state going into #Covid_19   a party that aft 4 yrs w a maj gov allowed cond's in food processing to remain desperate for workers #yeg #yegcc #ableg #abpoli #yyc  			
1.46E+18	22845977	Tue Nov 16 23:15:37 +0000 2021	0	0	"Edmonton, AB"	1385	"""Both Covid-19 and seasonal influenza can have very similar symptoms""  By reducing the likelihood of the flu there's less of a chance you'll need to stay home or go for COVID-19 testing.   ""Our actions and decisions impact on those around us."" "	M	positive	1
1.46E+18	7.20E+17	Tue Nov 16 23:14:55 +0000 2021	0	0	Calgary AB	371	@Mully1897 @MelissaOviatt @LoganSF13 @wadhawan2011 @DrTomFrieden All i was saying is natural immunity is equal of mot better than the vax. And covid is 10x less deadly than the seasonal flu gor the below 12 age group.			
1.46E+18	79008571	Tue Nov 16 23:14:24 +0000 2021	0	1	"Prince Albert, SK, Canada"	4233	Saskatchewan health officials reported one new death related to COVID-19 on Tuesday.  The death was reported in the Central East zone. There have now been 897 deaths related to COVID-19 reported in the province.  #COVID19   	M	neutral	1
1.46E+18	22845977	Tue Nov 16 23:14:16 +0000 2021	0	0	"Edmonton, AB"	1385	"Hinshaw: 5-11 not included in restriction eligibility to date. They are the age group at the lowest risk of severe infection. It's parents' choice to make, there is a societal benefit to having as many with vaccine protection as possible. Weighing the whole health picture."	M	neutral	1
1.46E+18	22845977	Tue Nov 16 23:14:16 +0000 2021	0	0	"Edmonton, AB"	1385	Lauren Pullen Global Calgary AB health says has no plans to expand vaccine passport or restrictions to kids 11 and under if the vaccine is open to that age range. What is the rationale behind this decision?			
1.46E+18	22845977	Tue Nov 16 23:14:16 +0000 2021	0	0	"Edmonton, AB"	1385	"Those who don't fit into currently eligible spots have better resistance even with breakthrough infection. multiple considerations when looking at vaccine eligibility, don't want to waste vaccine protection.  Need to think about long-term protection, timing isn't fixed."			
1.46E+18	322380725	Tue Nov 16 23:14:13 +0000 2021	0	1	"Edmonton, Alberta"	42	"@lellen49592375 @JedediahBila It was a simple statement that vaccinated people can catch and spread Covid. That's not misinformation, and the speed at which they shut down anything approaching a real discussion isn't helping anyone."			
1.46E+18	22845977	Tue Nov 16 23:14:12 +0000 2021	0	0	"Edmonton, AB"	1385	"Sarah Chu City News Given COVID is an airborne virus, should we encourage ventilation to be installed in businesses and schools?"			
1.46E+18	22845977	Tue Nov 16 23:14:11 +0000 2021	0	0	"Edmonton, AB"	1385	"While we know there is some immune response after infection, the vaccine is more effective.  There is a risk we could see a 5th wave. We have the tools to protect against COVID, including masks and vaccines."			
1.46E+18	22845977	Tue Nov 16 23:14:10 +0000 2021	0	0	"Edmonton, AB"	1385	"Questions. Kevin Stanfield CTV Calgary You spoke today about COVID-19 risk this winter, do you forsee a 5th wave?"	M	neutral	1
1.46E+18	22845977	Tue Nov 16 23:14:10 +0000 2021	0	0	"Edmonton, AB"	1385	"If eligible for a third COVID booster, wait at least six months between doses.  This ensures that protection lasts as long as possible."	V	neutral	1
1.46E+18	22845977	Tue Nov 16 23:14:10 +0000 2021	0	0	"Edmonton, AB"	1385	"""Our actions and decisions have an impact on everyone around us."" The vaccine can be received at the same time as the flu shot."			
1.46E+18	22845977	Tue Nov 16 23:14:09 +0000 2021	0	0	"Edmonton, AB"	1385	"3 confirmed cases of seasonal influenza this year so far. ""Reducing the likelihood of influenza means reducing the need to stay home or go for COVID testing."""	M	neutral	1
1.46E+18	22845977	Tue Nov 16 23:14:09 +0000 2021	0	0	"Edmonton, AB"	1385	There is plenty of time to get flu shot.  It's free and easy.  Flu shot won't prevent COVID-19 but will protect against spreading flu to others.			
1.46E+18	22845977	Tue Nov 16 23:14:08 +0000 2021	0	0	"Edmonton, AB"	1385	"""Coming down other side of 4th wave"" Albertans must stay vigilant as temperatures drop.  Risk of COVID-19 transmission increases indoors. Seasonal illnesses like flu are also a risk."	S	neutral	1
1.46E+18	22845977	Tue Nov 16 23:14:08 +0000 2021	0	0	"Edmonton, AB"	1385	"Dr. Deena Hinshaw COVID-19 update. 321 news cases of COVID-19. Positivity rate of 5.1% Active alerts in 201 schools, 10 have had 10 or more cases in last 14 days. Currently, 518 people are being treated for COVID in hospital.  101 in ICU. 13 new deaths in last 24 hours."	M	neutral	1
1.46E+18	1.24E+18	Tue Nov 16 23:12:51 +0000 2021	0	0	"Calgary, Alberta"	439	Saskatchewan reports 85 COVID-19 cases and 1 additional death on Tuesday   	C	neutral	1
1.46E+18	2275121520	Tue Nov 16 23:11:40 +0000 2021	0	0	"Calgary, Alberta"	450	"After disruption from #COVID19, many companies' lean efficiency became a damaging factor rather than a benefit. When efficiency does not equal resiliency, #Forbes recommends shifting to risk-free flexibility. Learn more in this article: "			
1.46E+18	63217258	Tue Nov 16 23:11:39 +0000 2021	7	23	"Calgary, Ab., Canada"	6197	"This one ID expert, an advisor to the .@WHO and @AHS_media  and @CMOH_Alberta and employed at the Foothills Medical Center in Calgary is responsible in a large part to the Covid Killing Fields including the illness and deaths in his own hospital... "	A	negative	1
1.46E+18	1.43E+18	Tue Nov 16 23:11:27 +0000 2021	0	1	"Calgary, Alberta"	147	"Absolute truth, and it isn’t just Covid. The constant demand to do more with less for the last several years has stripped nursing back to the absolute minimum required, and leaves almost all of what used to make our jobs rewarding, undone. "	A	negative	1
1.46E+18	2494223414	Tue Nov 16 23:11:10 +0000 2021	0	0	"Tioga, North Dakota"	100	"State Sen. David Rust and Reps. Bert Anderson and Don Longmuir spoke about their votes last week on redistricting, tax relief, COVID-19 vaccine mandates and critical race theory. "	P	neutral	1
1.46E+18	26157329	Tue Nov 16 23:10:45 +0000 2021	2	22	"Calgary, Alberta"	4367	"Hinshaw says we have learned so much w/ Covid and older ways of understanding transmission that it is is more a spectrum and there are different types of transmission.   [Sentence typed kinda makes no sense, sentence said makes less sense.]"	M	neutral	1
1.46E+18	26157329	Tue Nov 16 23:10:44 +0000 2021	0	11	"Calgary, Alberta"	4367	"Hinshaw says the absolute highest risk of Covid transmission is when someone is in close proximity of someone who is infected and when other factors are present like overcrowding, poor ventilation and no maks there is a higher risk of infection."			
1.46E+18	26157329	Tue Nov 16 23:10:44 +0000 2021	0	9	"Calgary, Alberta"	4367	"""Dr Tam said yesterday Covid is airborne and the virus lingers like 2nd hand smoke - do you align w/ that?"" Hinshaw says they have an info sheet online from Nov 2020 that clearly outlines the circumstances that raise the risk of airborne transmission."	M	neutral	1
1.46E+18	382737099	Tue Nov 16 23:10:20 +0000 2021	0	0	"Regina, SK"	13067	'Super easy': How Canadian travellers are getting free COVID-19 tests to return home from U.S. 	T	positive	1
1.46E+18	8.23E+17	Tue Nov 16 23:09:40 +0000 2021	0	0	"Medicine Hat, Alberta"	3243	Health minister says announcement coming on COVID-19 border measure changes 	M	neutral	1
1.46E+18	1.43E+18	Tue Nov 16 23:09:26 +0000 2021	0	0	"Calgary, Alberta"	1	@GlobalCalgary Does that mean COVID-19 is over finally because of climate change don't even Cap	A	neutral	1
1.46E+18	1660911480	Tue Nov 16 23:09:15 +0000 2021	0	0	"Moose Jaw, Saskatchewan"	2715	It was getting bad BEFORE Covid. 	A	negative	1
1.46E+18	1.41E+18	Tue Nov 16 23:08:45 +0000 2021	0	0	"Moose Jaw, SK"	76	@letsmakeathing @AdotSad Pfizer is. Keep up.	U	neutral	1
1.46E+18	1250627994	Tue Nov 16 23:07:43 +0000 2021	0	2	"Edmonton, Alberta"	198	"@BertaAdvantage Just say proof of vaccination is required to buy a truck. Either people will start getting vaccinated or trucks will stop being sold, win/win!"	A	ne	
1.46E+18	3326758537	Tue Nov 16 23:07:04 +0000 2021	0	0	"Edmonton, Alberta"	342	"@SChad71593015 @alan_poirier @lamphieryeg Knowing what I know now, I would not take that single dose, as circulating antibodies (from prior infection) can react with circulating spike antigens (from the mRNA vaccine) to create ""immune complexes"" which can cause adverse health effects."	A	negative	1
1.46E+18	2911637917	Tue Nov 16 23:05:33 +0000 2021	0	0	"calgary , alberta, canada"	419	@filmmiker @gccarra @InglewoodYYC Your vaccine efficacy in prevention is extremely poor. It wanes quickly and has far more benefit in lessening effects once infected. Hence therapeutic. Just because you can’t grasp it doesn’t make it incorrect. But keep up the ad hominem it makes you look sooooooo tough			
1.46E+18	26157329	Tue Nov 16 23:04:12 +0000 2021	0	6	"Calgary, Alberta"	4367	"Hinshaw says they are weighing the whole health picture of 5-11 year olds and everything they could be impacted by, especially since they are personally at the lowest risk of Covid."			
1.46E+18	26157329	Tue Nov 16 23:04:11 +0000 2021	0	8	"Calgary, Alberta"	4367	"""AB Health says they have no plans to expand the vaccine passport to kids 12 and under, why?"" Hinshaw says since they haven't been eligible they haven't been part of REP to date. Have seen significant declines in overall case #'s even though they haven't been included."	M	neutral	1
1.46E+18	155459137	Tue Nov 16 23:03:18 +0000 2021	1	8	"Regina, Saskatchewan"	1930	"@JeffGee31291468 Also the media needs to start calling recoveries what they are - non contagious.   We know long Covid is out there and this ""recovery"" is a phrase the government has normalized to hide the true toll its taking."			
1.46E+18	634743512	Tue Nov 16 23:02:05 +0000 2021	0	1	Devon	14698	"@DanielFooksArt Er you do seem a little obsessed wiht this. I've had Covid followed by Long Covid along side a 5 month cough, fatigue, headaches. Have you had covid just out of interest?"	A	neutral	1
1.46E+18	7.06E+17	Tue Nov 16 23:00:48 +0000 2021	0	0	"Red Deer County, Alberta"	942	"History will show that mass lockdowns of healthy individuals as the worst public health decision ever. Yet, Europe is ready to do it all over again.  "	P	negative	1
1.46E+18	7.24E+17	Tue Nov 16 23:00:22 +0000 2021	0	0	"Calgary, Alberta"	86	"Find out about COVID-19 new variants and update on the new Calgary Cancer Centre with Arnie Charbonneau Cancer Institute's Dr. Peter Duggan. Free and open to the public. Nov. 25, 7 p.m. Register via Zoom: "	M	neutral	1
1.46E+18	1638814237	Tue Nov 16 23:00:00 +0000 2021	1	3	"Leduc, AB "	1775	"#fairlyrandom #hockeycards from my displayed collection. Terry Sawchuk. Another #redwings. I guess with this many great players, I was bound to collect some. Found this one just before covid came on the scene. Miss casually shopping for reasonably priced gems. '60 #parkhurst "			
1.46E+18	1.35E+18	Tue Nov 16 22:58:43 +0000 2021	0	0	"Thompson, Manitoba"	59	"@PC_Manitoba can you start the task force now instead of waiting next week, people who need surgery could end up passing away waiting of the long wait AVG 26 months now 130,000 on waiting list. #Manitoba #CBC #healthcare #Covid_19"	P	negative	1
1.46E+18	60904108	Tue Nov 16 22:56:12 +0000 2021	0	2	Devon	2199	"I had the AZ jab, twice, now had my third and it was Pfizer. No side effects other than my willy is three inches longer ad seems to get rather solid if I think about Diane Abbott.  Get your booster folks. the Mrs will be cooking you steak tomorrow."	V	positive	1
1.46E+18	244383310	Tue Nov 16 22:55:46 +0000 2021	0	0	"Sylvan Lake, AB, Canada🇨🇦"	2482	"@cathy_fillion @CBCAlerts In my mind - the unvaccinated people with Covid are staying home with ""the flu"" until they get sick enough that they're scared for their lives &amp; get a quick pass into ICU. I mean I could be wrong, but deniers gonna deny."	A	negative	1
1.46E+18	28684719	Tue Nov 16 22:55:18 +0000 2021	0	0	"Edmonton, Alberta, Canada"	771	"""Alzheimer’s vaccine step closer after new treatment reverses memory loss""  "	V	negative	1
1.46E+18	413250668	Tue Nov 16 22:55:17 +0000 2021	0	2	Saskatoon	2940	"Five #Saskatchewan restaurants are served $14,000 tickets each for failing to screen for proof of #COVID19 vaccination or a negative test. A restaurant industry spokesman says these cases 'infuriate' those who are following the rules. #skpoli #COVID19SK  "	P	positive	1
1.46E+18	27471594	Tue Nov 16 22:55:17 +0000 2021	1	0	"Edmonton, Alberta"	2243	Q: About COVID-19 being airborne. Hinshaw says they have an info sheet online about risk of airborne transmission and it's been available since last year. We've learned a lot about transmission and it's more of a spectrum of how it can spread.	M	neutral	1
1.46E+18	1.29E+18	Tue Nov 16 22:53:31 +0000 2021	4	23	"Saskatoon, Saskatchewan"	1071	"Throughout this fall, the Sask Party govt has gone to great lengths, I'd even say heartless lengths, to talk about the economy and finances instead of covid.  Today @WotherspoonT questioned the govt on the financial cost.  The antics of the govt continued. ⬇️⬇️⬇️ #skpoli "			
1.46E+18	27471594	Tue Nov 16 22:53:10 +0000 2021	0	0	"Edmonton, Alberta"	2243	"Q: About vaccines for 5-11. Hinshaw says cases for everyone have declined despite no vax eligibility for 5-11 group and that group is at lowest risk. There is societal benefit for having vaccine protection, but need to weigh whole health picture when it comes to restrictions etc."	M	neutral	1
1.46E+18	1479785209	Tue Nov 16 22:52:32 +0000 2021	0	2	"Calgary, Alberta"	1365	"So rural AB is having a fifth wave then. Without significant vaccine uptake in the near term, this seems a certainty. #covid19AB "	V	neutral	1
1.46E+18	256733796	Tue Nov 16 22:51:27 +0000 2021	5	8	"Calgary, AB"	1647	"Hinshaw says there's ""a risk"" for a 5th covid wave especially with more time indoors for winter, notes AB #s have plateaued. #ABCOVID19 #yyc "	M	neutral	1
1.46E+18	274705157	Tue Nov 16 22:50:28 +0000 2021	0	0	Calgary Alberta CANADA	332	Can’t wait for my COVID-19 booster! Check out additional groups that are now eligible… 	S	positive	1
1.46E+18	42486455	Tue Nov 16 22:49:17 +0000 2021	0	3	"Saskatoon, Saskatchewan"	65942	Saskatchewan fines five restaurants for COVID-19 violations 	P	positive	1
1.46E+18	14803951	Tue Nov 16 22:49:17 +0000 2021	0	1	"Calgary, Alberta"	200828	"COVID-19 Update: 321 new cases, 13 deaths | Ottawa to make announcement on border measures | COVID drug had little impact on women  #yyc #COVID19AB"	C	neutral	1
1.46E+18	1.43E+18	Tue Nov 16 22:48:14 +0000 2021	0	0	"Edmonton, Alberta"	12	"@JenLeeCBC Jen, I would be very interested in learning why a bunch of European countries have banned Moderna for people under 30 and consequently why we would consider approving the same vaccine for kids under 11. I'm vaccinated and a concerned parent."	V	negative	1
1.46E+18	3362963218	Tue Nov 16 22:47:46 +0000 2021	0	2	"Edmonton, Alberta"	318	"@Randelius @BadLegalTakes honestly, i do think there's a significant chunk of antivaxxers who were just anxious about covid and would not have gotten sucked in at any other time, and now they're looking for a way out without admitting they were suckers"	A	negative	1
1.46E+18	26157329	Tue Nov 16 22:46:28 +0000 2021	0	6	"Calgary, Alberta"	4367	"Hinshaw says if there is a business or any individuals looking to reduce the risk of spread of Covid the things that can mitigate that - such as a reduction in crowding, wearing masks, improve ventilation w/ certified professionals."	S	positive	1
1.46E+18	26157329	Tue Nov 16 22:46:28 +0000 2021	2	10	"Calgary, Alberta"	4367	"""Since Covid is airborne, what are your thoughts on having air filtration or monitors in schools?"" Hinshaw says there are multiple methods of transmission and having a closed indoor space w/ poor ventilation and many people present does crease risk of airborne spread."	M	neutral	1
1.46E+18	24115395	Tue Nov 16 22:46:07 +0000 2021	1	5	Calgary	223	@beansprouts_mom @trendless @caruzycki @SeeLuluRun @WHO @AHS_media Welcome to team covid is airborne 			
1.46E+18	38921194	Tue Nov 16 22:45:40 +0000 2021	92	436	"Calgary, Alberta"	9386	I asked CMOH Dr. Deena Hinshaw if she foresees a fifth wave of COVID-19 in Alberta this winter.  She said there is a risk.  Big risk factors:  - too many unvaccinated people - social gatherings going inside as it gets colder			
1.46E+18	613799128	Tue Nov 16 22:45:04 +0000 2021	0	2	"Lethbridge, Alberta"	3044	Meet safely when you visit our venue 😷.   All event participants are required to provide proof of vaccination status when entering our venue.  ➡️  			
1.46E+18	7.91E+17	Tue Nov 16 22:44:20 +0000 2021	0	0	Edmonton	30	"@Garland2018 ""We will never reach 100% vaccination here, [...] The vaccines are not 100% effective against symptomatic infection""  Correct. That's why complimentary measures are needed to help curb Covid.  Thinking we only need vaccines to escape this is a false premise."	S	neutral	1
1.46E+18	197139260	Tue Nov 16 22:44:00 +0000 2021	12	66	Edmonton	12311	"Don't want a fifth wave that will overwhelm the health system? Increase vaccine uptake, keep wearing your mask, keep washing your hands, stay home when sick. If you want to improve ventilation make sure it's done by a pro who can consider whole system."	S	positive	1
