id,author_id,created_at,retweet_count,like_count,location,author_follower_count,text,Topic,sentiment
1.46E+18,274669759,Mon Nov 15 23:37:04 +0000 2021,0,0,"Sundre, Alberta",279,"Updates for areas including Sundre, Olds, Didsbury, Carstairs, Innisfail, Mountain View County, parts of Red Deer County",C,neutral
1.46E+18,1236477440,Mon Nov 15 23:37:03 +0000 2021,0,0,"Edmonton, Alberta",200,@jkenney Can we use it to fight back against discriminatory &amp; racist vaccine passports?,U,neutral
1.46E+18,1.18E+18,Mon Nov 15 23:36:56 +0000 2021,0,0,Calgary AB,24,@loublanco1976 @traintwt @IGN No media sites are being dumb asses and asking the same questions over and over because they're dumbasses it has nothing to do with her. Of course they're going to delay reproduction if she's not willing to come to America to continue filming yet it's one of the worst covid sites,U,neutral
1.46E+18,4780245109,Mon Nov 15 23:35:44 +0000 2021,0,0,"Lethbridge, Alberta",6279,Average of 365 daily COVID cases recorded in Alberta this weekend. #YQL #LNN #COVID19 #Alberta #Lethbridge,C,neutral
1.46E+18,16166625,Mon Nov 15 23:34:47 +0000 2021,0,1,"Edmonton, AB",775,"I’ve listened to Ignorance more than anything else this year, and have been cautiously looking forward to tomorrow’s show, never letting my hopes get too high with all the COVID concerns. It would be a sad irony if the climate crisis is what stopped it. I hope everyone is safe!",T,neutral
1.46E+18,2642927933,Mon Nov 15 23:33:18 +0000 2021,0,2,"Calgary, Alberta",144,"@CandiceBergenMP @PierrePoilievre Lol riiiiight.   Canadians are still waiting for the Harper trickle down promised so long ago- Currently every province run by Conservatives is HUGE in the red, blaming Ottawa for all their own failures, lowest in  approval ratings and COVID response- #NeverVoteConservative",P,negative
1.46E+18,26741117,Mon Nov 15 23:33:11 +0000 2021,0,0,"Calgary, Alberta",65,@JoeJoewurz @mikesbloggity @KaraUtri @jkenney So the rate of people dying by covid infection is more than double the overestimated rate of those dying by drug overdose because of covid. Both are problems. And both have solutions. Why don’t we fix them both?,A,neutral
1.46E+18,26741117,Mon Nov 15 23:33:05 +0000 2021,0,0,"Calgary, Alberta",65,@JoeJoewurz @mikesbloggity @KaraUtri @jkenney But let’s talk numbers. 2020 saw 1316 drug related deaths. In 2018 there were 806. So attributing 100% of excess deaths in 2020 to suicide by overdose due to covid restrictions (which is obviously an over estimate) we have 510 deaths. Covid took 1046 deaths in 2020.,C,neutral
1.46E+18,9.65E+17,Mon Nov 15 23:31:33 +0000 2021,0,1,Devon,6,"@amandamull Just read your hair loss article, thanks for writing about this. Two things to add: 1) sudden hair loss is a nightmare for trans feminine people - gets read as MPB which is really distressing 2) I got covid in March 2020 but my hair loss came from the vaccines this spring",U,neutral
1.46E+18,1479785209,Mon Nov 15 23:31:15 +0000 2021,0,8,"Calgary, Alberta",1365,Calgary Upper NE showing us how it’s done. They have the highest vaccination rate and the lowest case rate in the city. #Covid19YYC,V,positive
1.46E+18,24735707,Mon Nov 15 23:30:21 +0000 2021,0,0,"Edmonton, Alberta",30344,"Alberta COVID hospitalizations drop, 17 deaths identified through weekend",C,neutral
1.46E+18,1.28E+18,Mon Nov 15 23:30:15 +0000 2021,0,10,"Calgary, Alberta",485,@RacineRocky Vaccines prevent you from dying of covid. Not getting it.,V,neutral
1.46E+18,174473050,Mon Nov 15 23:29:42 +0000 2021,5,12,"Edmonton, Alberta",20093,Here are the 17 COVID-related deaths being reported in Alberta today.   #yeg #yyc #ableg #Covid19ab,C,neutral
1.46E+18,250310081,Mon Nov 15 23:29:17 +0000 2021,0,0,Calgary,21,"@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes /2  This a perspective issue.   Any risk from a Covid vax is relatively small compared to the risk of Covid if you’re not vaxxed. And, since autoimmune disease was mentioned, people who are immune compromised for whatever reason are most at risk for Covid. They need the jab.",C,neutral
1.46E+18,1.33E+18,Mon Nov 15 23:25:56 +0000 2021,1,1,Calgary,416,Nature's best covid isolation strategy for keeping BC more protected from #Ableg. @allan_crawshaw @magnitudefilm @carolyndunncbc,U,neutral
1.46E+18,171603438,Mon Nov 15 23:25:05 +0000 2021,0,1,"Lethbridge, AB",2433,"Lethbridge COVID stats for Nov. 12, 13, 14 (combined and released today): 32 new cases out of 102 in South Zone; one death (city's 62nd); 31 recoveries; active cases remain unchanged at 157 #YQL",C,neutral
1.46E+18,250310081,Mon Nov 15 23:23:15 +0000 2021,0,0,Calgary,21,"@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes 1/ The difference is that we take all those other vaccines for granted. There are really very few people in North America who have never, ever been vaccinated. And all of those other vaccines probably weren’t any safer than Covid vaccines. But everyone’s paying attention, now.",V,neutral
1.46E+18,14803951,Mon Nov 15 23:21:51 +0000 2021,0,2,"Calgary, Alberta",200830,"COVID-19 Update: 1,068 new cases, 17 deaths over three days | QR codes now required as vaccine proof  #yyc #COVID19AB",C,neutral
1.46E+18,250310081,Mon Nov 15 23:20:10 +0000 2021,0,0,Calgary,21,"@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes Understood. My point is the possibility of adverse reactions/side effects has been blown out of proportion. The Covid vaccines have all been tested, and the stats for adverse effects were the same as the vaccines we already have. But we have more/safer options with Covid jabs.",V,positive
1.46E+18,1.34E+18,Mon Nov 15 23:20:02 +0000 2021,0,1,"Edmonton, Alberta",115,kalen disproved the theory that we somehow caught covid so that's nice.,A,positive
1.46E+18,2303465318,Mon Nov 15 23:18:35 +0000 2021,0,1,"Port Perry, Ont. Canada",23,@fordnation @StevensonHosp @SylviaJonesMPP Backlog caused by the governments not Covid,P,neutral
1.46E+18,1.29E+18,Mon Nov 15 23:16:20 +0000 2021,0,1,"Regina, Saskatchewan",365,"@jburnmurdoch If it is the 3rd dose of a 3-dose vaccine, why are we waiting until 6 months have passed from 2nd dose?",V,neutral
1.46E+18,23281252,Mon Nov 15 23:15:47 +0000 2021,0,0,"Calgary, Alberta",1770,"@t7_linda Lower vax rates ensure that outbreaks will continue to compete for those few ICU beds (~175 normally) that Alberta maintains.  One problem may be that governments have cut budgets &amp; ICU beds in last decade. But until Covid #s drop, surgeries will continue to pile up.  It’s math.",M,neutral
1.46E+18,829719163,Mon Nov 15 23:15:11 +0000 2021,0,0,"Yorkton, Saskatchewan",2669,SK and MB released their respective COVID-19 updates today. Details at 5:30 w/ GX94 News.,C,neutral
1.46E+18,250310081,Mon Nov 15 23:14:13 +0000 2021,0,0,Calgary,21,"@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes /3 That’s why it’s nice that we have a choice with Covid vaccines. The mRNA vaccines don’t contain any virus, live or dead, so that’s a gift to the immune compromised.   People who think any of this is experimental at this point don’t realize that mRNA vaccines aren’t really new.",V,positive
1.46E+18,250310081,Mon Nov 15 23:12:45 +0000 2021,0,0,Calgary,21,"@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes /5 Speaking of experimental vaccines - which you weren’t, but all the anti-vaxxers are:  225 years ago, Edward Jenner discovered the first smallpox vaccine by injecting pus from a cowpox pustule into a 9 year-old boy’s arm.  He saved over 500M lives.   Ain’t scared of no vaccine.",V,positive
1.46E+18,1.34E+18,Mon Nov 15 23:12:40 +0000 2021,0,0,"Edmonton, Alberta",115,"ah, shit. person buying stuff from us says it might be covid that we've got. i dunno how cause we're fully vaxxed and have been masking everywhere, but...",A,neutral
1.46E+18,545463508,Mon Nov 15 23:11:24 +0000 2021,0,0,Calgary Alberta Canada,40,"Remember that as of Nov 15, the QR code is the expected proof of vaccination in the province. All upcoming Titan training participants must have there QR vaccine record code ready to show their instructor. You can access your personal QR code here:",V,neutral
1.46E+18,415170246,Mon Nov 15 23:11:10 +0000 2021,9,36,"Edmonton, Alberta",5153,"Covid is an aerosol, just like smoke. Glad to see our public health leaders sharing this fact.   Now, please back it up with support for better masks (KN95, CA95, N95) and better indoor ventilation. Hard to open windows in the winter.",S,positive
1.46E+18,1.45E+18,Mon Nov 15 23:10:49 +0000 2021,0,0,"Calgary, Alberta",19,@AlbertaPharmacy @JasonCoppingAB @GoAHealth Moderna has zero clinical trials for the 3 rd dose. The clinical trials are not completed until fall of 2022. Call amd ask them.,V,neutral
1.46E+18,23281252,Mon Nov 15 23:09:49 +0000 2021,0,1,"Calgary, Alberta",1770,"@t7_linda Until vax rates reach a higher level, our health care systems will limp along with emergency surgeries only.  I’m told there are two main factors in Alta:  1.  High demand for ICU beds for many postop patients combined with 2. Weeks long ICU stays for many Covid-19 patients.",M,neutral
1.46E+18,1.45E+18,Mon Nov 15 23:09:42 +0000 2021,0,0,"Calgary, Alberta",19,@CovenantCA @JasonCoppingAB Anyone who is involved with the care of a Covid patient without treating them with the FLCCC protocol should have their license revoked. A ventilator is not a treatment for a virus. Shame!,S,neutral
1.46E+18,171603438,Mon Nov 15 23:06:55 +0000 2021,0,2,"Lethbridge, AB",2433,"As for the two COVID deaths reported in the South Zone, one involved a man in his 70s and the other, a woman in her 50s with the notation of ""no known pre-existing conditions were involved.""",C,neutral
1.46E+18,415170246,Mon Nov 15 23:05:56 +0000 2021,37,178,"Edmonton, Alberta",5153,"We need to see government, and public health, leaders wearing better masks (KN95, CA95, N95).   We also need these same leaders to be advocating, and providing, better masks for the general public. No more crappy masks that let the airborne Covid in and out.",S,positive
1.46E+18,1.33E+18,Mon Nov 15 23:05:56 +0000 2021,0,5,"Calgary, Alberta",174,"Politics today: Rivals for #UCP #fortmcmurray nomination ,economist and fossil fuel advocate Joshua Gogo, and ex Wildrose ginger Brian Jean are battling to present the most obtuse Covid vaccine stance in an effort to gain the support of the powerful @Alberta_UCP stupid lobby.",P,neutral
1.46E+18,21037096,Mon Nov 15 23:02:14 +0000 2021,2,9,"Calgary, Alberta, Canada",191667,COVID-19 in Alberta: 17 weekend deaths as ICU count hits lowest mark since August:,M,neutral
1.46E+18,250310081,Mon Nov 15 23:01:31 +0000 2021,0,0,Calgary,21,"@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes /4  mRNA vaccine has already been used to fight Ebola, but Ebola isn’t a big concern in western countries. This is the first time an mRNA vaccine has been developed for something this big or that it has been commercially developed in the United States.",V,neutral
1.46E+18,21037096,Mon Nov 15 23:01:01 +0000 2021,1,13,"Calgary, Alberta, Canada",191667,"Alberta residents will now need more than a paper record from a COVID-19 vaccine clinic if they want to sit down at a restaurant, work out at a gym or enter indoor venues like arenas or movie theatres.",V,neutral
1.46E+18,3070764517,Mon Nov 15 23:00:45 +0000 2021,0,0,"Calgary, Alberta",893,Could COVID be the catalyst for Vancouver’s red hot real estate market to finally stabilize?,A,neutral
1.46E+18,1.04E+18,Mon Nov 15 23:00:08 +0000 2021,0,0,"Calgary, AB",98,"As of midnight Monday roughly two million Austrians eligible for vaccination, but who are not yet inoculated, are prohibited from leaving their homes except for basics like working, shopping, going to school — or getting vaccinated. #vax #antivax #covid19",V,neutral
1.46E+18,210242696,Mon Nov 15 23:00:04 +0000 2021,8,12,"Calgary, AB",593,This is a MUST WATCH interview if you want to understand COVID-19 transmission!  This will literally save lives! @PopAlberta #COVID19Transmission #ABHealth,S,positive
1.46E+18,171603438,Mon Nov 15 22:59:36 +0000 2021,0,4,"Lethbridge, AB",2433,"Still waiting for geospatial data to update but for Nov. 12, 13, 14 combined there were 17 COVID deaths reported to AHS. Two were in the South Zone.   There were 429, 353 and 286 new cases confirmed on those days respectively with positivity rates of 5.4%, 4.9% and 4.3%.",C,neutral
1.46E+18,3948006613,Mon Nov 15 22:58:55 +0000 2021,0,0,"Edmonton, Alberta",336,Shortly there after getting the so called “vaccine”…no children do not have strokes! This is not normal,V,negative
1.46E+18,15769858,Mon Nov 15 22:57:57 +0000 2021,0,6,"Edmonton, Alberta, Canada",182496,Hopes renewed for Alzheimer's vaccine after trials reverse memory loss in mice,U,neutral
1.46E+18,18982486,Mon Nov 15 22:56:48 +0000 2021,1,3,Calgary,84049,"On Monday, the province released COVID numbers from the weekend and it has some positive signs and some things to watch out for. ",C,neutral
1.46E+18,381174013,Mon Nov 15 22:56:11 +0000 2021,0,0,"Calgary, Alberta",8409,Council is looking at giving itself the ability to remove the mask bylaw following a regular COVID update from administration.,P,neutral
1.46E+18,1.01E+18,Mon Nov 15 22:55:53 +0000 2021,0,1,"Red Deer, Alberta",173,@TrevorBoller @hilaurel The Black Knight Inn in Red Deer just auctioned off all its contents.  #Bankrupt casualty of Covid,U,neutral
1.46E+18,113389632,Mon Nov 15 22:55:42 +0000 2021,1,3,"Edmonton, Alberta",1120,You can now add your COVID vaccination record to your Apple wallet.,V,neutral
1.46E+18,60904108,Mon Nov 15 22:53:51 +0000 2021,0,0,Devon,2199,"@Les1004 Had two AZ jabs, three days ago, had Pfizer booster, no effects thus far.  Did have a few scary dizzy spells after first AZ shot, nothing after the second.",V,neutral
1.46E+18,381174013,Mon Nov 15 22:53:13 +0000 2021,0,3,"Calgary, Alberta",8409,"#yyccc is done with the break. Now it's back to the COVID related items. First, housekeeping update on the vaccine passport bylaw which brings the City's rules in line with the province. This is approved 15-0.",V,neutral
1.46E+18,8.23E+17,Mon Nov 15 22:52:34 +0000 2021,0,0,"Medicine Hat, Alberta",3243,"SPORTS: NHL, Senators postpone next three games as team deals with COVID outbreak",T,neutral
1.46E+18,250310081,Mon Nov 15 22:51:41 +0000 2021,0,0,Calgary,21,@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes /2 Most adverse reactions fall under the heading of mild symptoms.   More serious reactions are often not a reaction to the vaccine but to the medium used as a vehicle for delivering the vaccine. Think egg allergy.    And immune compromised patients might worry about live virus.,V,neutral
1.46E+18,2898732470,Mon Nov 15 22:50:52 +0000 2021,0,1,"Calgary, Alberta",415,"@Godwinse1 @CarolinaPostma @KatieM12121 Those numbers include cases reported since the start of the vaccination campaign which began December 14, 2020, as per PHAC website. In others, the ‘data’ is not quite what it appears.",C,neutral
1.46E+18,718922508,Mon Nov 15 22:48:10 +0000 2021,3,7,"Calgary, Alberta",4455,"Alberta's COVID-19 update for today: Nov 12: 429 new cases Nov 13: 353  Nov 14: 286 5,828  active cases 519 in hospital with 100 in icu (last report on Fri: 554/110) Total deaths now: 3,188 (an increase of 17) Tests: Nov 12: 7,967 Nov 13: 7,146  Nov 14: 6,639",C,neutral
1.46E+18,1877329807,Mon Nov 15 22:48:03 +0000 2021,13,54,Saskatoon,1366,"Today I spoke with Andrew and Matthew Millar who recently lost their father, Ken Millar, to COVID-19. He was one of the five Saskatchewan COVID ICU patients who died after being transferred to Ontario. Ken was hesitant to get vaccinated. Story on the 6pm @CBCSask newscast.",A,neutral
1.46E+18,250310081,Mon Nov 15 22:46:23 +0000 2021,0,0,Calgary,21,"@Cyberace1985 @lovelylucybelle @realCruzThomas @patriottakes /1  The actual number of catastrophic outcome attributable to adverse reactions to vaccines in general is very small, and generally insignificant if weighed against the likelihood of a catastrophic illness resulting from the disease the vaccine is designed to fight.",V,positive
1.46E+18,622137885,Mon Nov 15 22:45:49 +0000 2021,0,0,"Saskatoon, Saskatchewan",471,"@ByronMBader Why doesn’t Rossi have a D1 or D2 NHLe? I know he didn’t play, but everyone’s numbers were skewed because of Covid? Or did you set a minimum games played marker for everyone?",T,neutral
1.46E+18,8.30E+17,Mon Nov 15 22:45:18 +0000 2021,0,0,"Saskatchewan, Canada",117,"I understand covid failures so much more now. The best of us are struggling to ensure space is safe, how can we expect the worst of us (Some political leaders) to figure out safety on earth. Stay safe up there folks",P,negative
1.46E+18,909045265,Mon Nov 15 22:44:44 +0000 2021,0,0,Edmonton - Alberta,147,@HILITINGHOCKEY @denisebatters Government Incompetence (many example plus scandals and ethics violations):,U,neutral
1.46E+18,248815939,Mon Nov 15 22:43:58 +0000 2021,0,3,"Calgary, Canada",122,Post-covid movies have a lot of nerve being over 2 and a half hours long given my attention span regressed to that of a gnat the last year and a half,U,neutral
1.46E+18,1.29E+18,Mon Nov 15 22:43:48 +0000 2021,0,2,"Calgary, Alberta",1054,"@covid_parent @AlixG_2 I need to buy shares, Gates is getting 20-1 returns 💰😆",U,neutral
1.46E+18,273250582,Mon Nov 15 22:43:47 +0000 2021,0,3,"Saskatoon, SK, Canada",1070,@DrKyle @tammyrobert This is unrelated to Covid’s effects on the healthcare system.,M,neutral
1.46E+18,27901722,Mon Nov 15 22:43:31 +0000 2021,0,1,Calgary,22185,"@zsa_zsa_zebra Hey, thanks for reaching out to us. We've passed your feedback on to the Nose Hill manager for their review.  All Library staff and visitors must wear a mask inside locations unless they have a medical exemption, per our health and safety guidelines:",U,neutral
1.46E+18,27471594,Mon Nov 15 22:42:18 +0000 2021,0,0,"Edmonton, Alberta",2243,"Here's a regional breakdown of active COVID-19 cases in Alberta.  Provincial total: 5,828 Calgary zone: 1,848 Edmonton zone: 1,249 North zone: 1,213 Central zone: 991 South zone: 521 Unknown: 6  #yeg #yyc #COVID19AB",C,neutral
1.46E+18,1026882835,Mon Nov 15 22:41:49 +0000 2021,0,0,"Calgary, Alberta",116,@KatieM12121 Also I didn't mention... I already had covid early September...,A,neutral
1.46E+18,205426642,Mon Nov 15 22:41:02 +0000 2021,7,16,"Edmonton, Alberta",15732,Most 124 Street Businesses have extended their opening hours during All Is Bright Festival. Enjoy the festival ❄️ and maybe do some shopping while you’re on the street! Please ensure to follow COVID-19 protocols at all 124 Street establishments.  #shop124street #AllIsBright2021,U,neutral
1.46E+18,174473050,Mon Nov 15 22:39:43 +0000 2021,19,25,"Edmonton, Alberta",20093,"NEW:   - 17 COVID deaths reported in Alberta over past 72 hours - 519 in hospital (-35), incl 100 in ICU (-10)  FRI: 429 cases/7967 tests (5.4%+) SAT: 353 cases/7146 tests (4.9%+) SUN: 286 cases/6639 tests (4.3%+)  - 5828 active cases (+85)  #yeg #yyc #ableg #Covid19ab",C,neutral
1.46E+18,1.35E+18,Mon Nov 15 22:39:15 +0000 2021,0,0,"Edmonton, Alberta,Canada🇨🇦",716,"@photodarren I totally understand and only was in and out of home and only used bed for several years and felt like everything was in storage just sitting there and now actually added what was in storage that I decided to keep and should be down sizing more at my age, covid botched all so far",U,neutral
1.46E+18,26157329,Mon Nov 15 22:39:11 +0000 2021,1,9,"Calgary, Alberta",4367,AB Covid wknd update: Fri - 429 new cases (5.3% positivity) Sat - 353 new cases (5% positivity) Sun - 286 new cases (4.3% positivity) 5828 active cases 519 in hospital 100 in ICU 17 deaths,C,neutral
1.46E+18,501467647,Mon Nov 15 22:39:06 +0000 2021,0,1,"Brock, Saskatchewan",1501,@jcalder1983 If Covid makes it rain I just turned into an antivaxxer real fast. 🤣🤣🤣,U,neutral
1.46E+18,1112045976,Mon Nov 15 22:39:01 +0000 2021,0,0,"Fort McMurray, Alberta",4774,"QUESTIONS?  When you’re ready to fly, we know you’ll have questions.  Check out the government of Canada regulations here:   Questions about flying from YMM are answered on our website:   Fly Healthy. Fly Safe. Fly YMM.  #ymm #fmwb",U,neutral
1.46E+18,3529234932,Mon Nov 15 22:38:56 +0000 2021,4,3,"Calgary, Alberta",2112,"There are 17 additional COVID deaths reported over the last three days. Alberta's death toll from COVID-19 sits at 3,188. #COVID19AB",C,neutral
1.46E+18,1.29E+18,Mon Nov 15 22:37:50 +0000 2021,0,2,"Calgary, Alberta",1054,"@AlixG_2 @covid_parent Lmao!  Makes perfect sense, by 2024 it will be your trophy for each vile injected by then.",U,neutral
1.46E+18,1.27E+18,Mon Nov 15 22:32:36 +0000 2021,0,0,Yyc,6,@JustinTrudeau @theJagmeetSingh CRSB benefits number of weeks eligible should be increased  to the same duration as the CR caregiving benefits.   I am and people like me are struggling with covid issues and yes i am vaccinated,S,neutral
1.46E+18,1287168679,Mon Nov 15 22:30:31 +0000 2021,0,2,"Olds, Alberta",674,@MyTwistedMind89 I keep telling my unvaccinated friends the vaccine made my ..... bigger. 🤷‍♀️😂.,A,neutral
1.46E+18,42486455,Mon Nov 15 22:29:31 +0000 2021,0,1,"Saskatoon, Saskatchewan",65941,U of S study reveals factors behind vaccine resistance in Saskatchewan,V,neutral
1.46E+18,413250668,Mon Nov 15 22:25:53 +0000 2021,1,1,Saskatoon,2940,What drives resistance to #COVID19 vaccines in #Saskatchewan?  A newly released U of S study takes a look with 76 per cent who said they would be willing to take the vaccine and 11 per cent who said they would refuse it. #skpoli #COVID19SK #antivaxxers,V,neutral
1.46E+18,10459302,Mon Nov 15 22:23:07 +0000 2021,0,0,"Wetaskiwin, Alberta, Canada",39,"@PediHatrick @MattJonesYYC Anyone who is following the science and data, and not just reading memo's from AHS knows that this is completely false.  🚩🚩🚩 ""COVID remains a serious risk for children and the vaccine is far safer than infection in all eligible ages""",V,negative
1.46E+18,1.26E+18,Mon Nov 15 22:22:24 +0000 2021,0,1,"Edmonton, Alberta",105,"Oh, the weather outside is frightful, And we have to fend for our own survival. For COVID to have no place to go, Stay at home, stay at home, stay at home!  #Yegwx #covid19ab",S,positive
1.46E+18,232352437,Mon Nov 15 22:20:42 +0000 2021,0,1,Sandy Beach,45,@BBCNews Has she had her vaccination?,U,neutral
1.46E+18,26156180,Mon Nov 15 22:20:10 +0000 2021,0,2,"Edmonton, Alberta",1932,One more reason to get that vaccine into our kids ASAP. #diabetes #COVID19,V,positive
1.46E+18,182968639,Mon Nov 15 22:17:40 +0000 2021,0,1,Downtown Canada,2289,@XylieStarGaming So sad the grandpa died of Covid but they still get together 🥰,U,neutral
1.46E+18,91712111,Mon Nov 15 22:17:37 +0000 2021,0,0,Calgary AB,2780,@Al_Mc72 @marcus_t_ward It sounds sooo awful &amp; unpredictable. I wish you the best &amp; a cure Alistair &amp; glad you’re fully recovered Marcus.  I’m so glad my son &amp; I have avoided Covid. I’ve heard similar &amp; worse outcomes in Canada. In young &amp; healthy people too.,U,neutral
1.46E+18,276172256,Mon Nov 15 22:15:10 +0000 2021,0,2,"Lacombe, Alberta",479,"Another weekday and another covid exposure letter from the schools.  I'm not kidding; It's almost daily.  Good thing covid doesn't spread in schools, right @AdrianaLaGrange, @CMOH_Alberta and @jkenney?  Are you still holding fast to that story?",A,negative
1.46E+18,24735707,Mon Nov 15 22:15:02 +0000 2021,0,0,"Edmonton, Alberta",30344,Alberta now requires vaccine record with QR code for its passport program,V,neutral
